timestamp,x_position,y_position,action
24.1,100,300,idle
24.13,100,300,idle
24.16,100,300,idle
24.2,100,300,idle
24.23,100,300,idle
24.27,100,300,idle
24.3,100,300,idle
24.33,100,300,idle
24.37,100,300,idle
24.4,100,300,idle
24.43,100,300,idle
24.47,100,300,idle
24.5,100,300,idle
24.53,100,300,idle
24.57,100,300,idle
24.6,100,300,idle
24.63,100,300,idle
24.67,100,300,idle
24.7,100,300,idle
24.73,100,300,idle
24.77,100,300,idle
24.8,100,300,idle
24.84,100,300,idle
24.87,100,300,idle
24.9,100,300,idle
24.94,100,300,idle
24.97,100,300,idle
25.0,100,300,idle
25.04,100,300,idle
25.07,100,300,idle
25.1,100,300,idle
25.14,100,300,idle
25.17,100,300,idle
25.21,100,300,idle
25.24,100,300,idle
25.27,100,300,idle
25.31,100,300,idle
25.34,100,300,idle
25.37,100,300,idle
25.41,100,300,idle
25.44,100,300,idle
25.47,100,300,idle
25.51,100,300,idle
25.54,100,300,idle
25.58,100,300,idle
25.61,100,300,idle
25.64,100,300,idle
25.68,100,300,idle
25.71,100,300,idle
25.74,100,300,idle
25.78,100,300,idle
25.81,100,300,idle
25.84,100,300,idle
25.88,100,300,idle
25.91,100,300,idle
25.94,100,300,idle
25.98,100,300,idle
26.01,100,300,idle
26.05,100,300,idle
26.08,100,300,idle
26.11,100,300,idle
26.15,100,300,idle
26.18,100,300,idle
26.21,100,300,idle
26.25,100,300,idle
26.28,100,300,idle
26.32,100,300,idle
26.35,100,300,idle
26.38,100,300,idle
26.42,100,300,idle
26.45,100,300,idle
26.48,100,300,idle
26.52,100,300,idle
26.55,100,300,idle
26.58,100,300,idle
26.62,100,300,idle
26.65,100,300,idle
26.68,100,300,idle
26.72,100,300,idle
26.75,100,300,idle
26.78,100,300,idle
26.82,100,300,idle
26.85,100,300,idle
26.88,100,300,idle
26.92,100,300,idle
26.95,100,300,idle
26.99,100,300,idle
27.02,100,300,idle
27.05,100,300,idle
27.09,100,300,idle
27.12,100,300,idle
27.15,100,300,idle
27.19,100,300,idle
27.22,100,300,idle
27.26,100,300,idle
27.29,100,300,idle
27.33,100,300,idle
27.36,100,300,idle
27.39,100,300,idle
27.43,100,300,idle
27.46,100,300,idle
27.49,100,300,idle
27.53,100,300,idle
27.56,100,300,idle
27.59,100,300,idle
27.63,100,300,idle
27.66,100,300,idle
27.69,100,300,idle
27.73,100,300,idle
27.76,100,300,idle
27.8,100,300,idle
27.83,100,300,idle
27.86,100,300,idle
27.9,100,300,idle
27.93,100,300,idle
27.96,100,300,idle
28.0,100,300,idle
28.03,100,300,idle
28.06,100,300,idle
28.1,100,300,idle
28.13,100,300,idle
28.16,100,300,idle
28.2,100,300,idle
28.23,100,300,idle
28.26,100,300,idle
28.3,100,300,idle
28.33,100,300,idle
28.36,100,300,idle
28.4,100,300,idle
28.43,100,300,idle
28.47,100,300,idle
28.5,100,300,idle
28.53,100,300,idle
28.57,100,300,idle
28.6,100,300,idle
28.63,100,300,idle
28.67,100,300,idle
28.7,100,300,idle
28.73,100,300,idle
28.77,100,300,idle
28.8,100,300,idle
28.83,100,300,idle
28.87,100,300,idle
28.9,100,300,idle
28.93,100,300,idle
28.97,100,300,idle
29.0,100,300,idle
29.03,100,300,idle
29.07,100,300,idle
29.1,100,300,idle
29.13,100,300,idle
29.17,100,300,idle
29.2,100,300,idle
29.23,100,300,idle
29.27,100,300,idle
29.3,100,300,idle
29.34,100,300,idle
29.37,100,300,idle
29.4,100,300,idle
29.44,100,300,idle
29.47,100,300,idle
29.51,100,300,idle
29.54,100,300,idle
29.57,100,300,idle
29.61,100,300,idle
29.64,100,300,idle
29.67,100,300,idle
29.71,100,300,idle
29.74,100,300,idle
29.78,100,300,idle
29.81,100,300,idle
29.84,100,300,idle
29.88,100,300,idle
29.91,100,300,idle
29.95,100,300,idle
29.98,100,300,idle
30.01,100,300,idle
30.05,100,300,idle
30.08,100,300,idle
30.12,100,300,idle
30.15,100,300,idle
30.18,100,300,idle
30.22,100,300,idle
30.25,100,300,idle
30.28,100,300,idle
30.32,100,300,idle
30.35,100,300,idle
30.39,100,300,idle
30.42,100,300,idle
30.45,100,300,idle
30.49,100,300,idle
30.52,100,300,idle
30.55,100,300,idle
30.59,100,300,idle
30.62,100,300,idle
30.66,100,300,idle
30.69,100,300,idle
30.73,100,300,idle
30.76,100,300,idle
30.79,100,300,idle
30.83,100,300,idle
30.86,100,300,idle
30.89,100,300,idle
30.93,100,300,idle
30.96,100,300,idle
31.0,100,300,idle
31.03,100,300,idle
31.06,100,300,idle
31.1,100,300,idle
31.13,100,300,idle
31.17,100,300,idle
31.2,100,300,idle
31.23,100,300,idle
31.27,100,300,idle
31.3,100,300,idle
31.33,100,300,idle
31.37,100,300,idle
31.4,100,300,idle
31.43,100,300,idle
31.47,100,300,idle
31.5,100,300,idle
31.54,100,300,idle
31.57,100,300,idle
31.6,100,300,idle
31.64,100,300,idle
31.67,100,300,idle
31.71,100,300,idle
31.74,100,300,idle
31.77,100,300,idle
31.8,100,300,idle
31.84,100,300,idle
31.87,100,300,idle
31.91,100,300,idle
31.94,100,300,idle
31.97,100,300,idle
32.01,100,300,idle
32.04,100,300,idle
32.07,100,300,idle
32.11,100,300,idle
32.14,100,300,idle
32.17,100,300,idle
32.21,100,300,idle
32.24,100,300,idle
32.28,100,300,idle
32.31,100,300,idle
32.34,100,300,idle
32.38,100,300,idle
32.41,100,300,idle
32.44,100,300,idle
32.48,100,300,idle
32.51,100,300,idle
32.54,100,300,idle
32.58,100,300,idle
32.61,100,300,idle
32.65,100,300,idle
32.68,100,300,idle
32.71,100,300,idle
32.75,100,300,idle
32.78,100,300,idle
32.82,100,300,idle
32.85,100,300,idle
32.88,100,300,idle
32.92,100,300,idle
32.95,100,300,idle
32.98,100,300,idle
33.02,100,300,idle
33.05,100,300,idle
33.09,100,300,idle
33.12,100,300,idle
33.15,100,300,idle
33.19,100,300,idle
33.22,100,300,idle
33.25,100,300,idle
33.29,100,300,idle
33.32,100,300,idle
33.36,100,300,idle
33.39,100,300,idle
33.42,100,300,idle
33.46,100,300,idle
33.49,100,300,idle
33.52,100,300,idle
33.56,100,300,idle
33.59,100,300,idle
33.62,100,300,idle
33.66,100,300,idle
33.69,100,300,idle
33.72,100,300,idle
33.76,100,300,idle
33.79,100,300,idle
33.82,100,300,idle
33.85,100,300,idle
33.89,100,300,idle
33.92,100,300,idle
33.95,100,300,idle
33.99,100,300,idle
34.02,100,300,idle
34.05,100,300,idle
34.09,100,300,idle
34.12,100,300,idle
34.16,100,300,idle
34.19,100,300,idle
34.22,100,300,idle
34.26,100,300,idle
34.29,100,300,idle
34.32,100,300,idle
34.36,100,300,idle
34.39,100,300,idle
34.42,100,300,idle
34.46,100,300,idle
34.49,100,300,idle
34.53,100,300,idle
34.56,100,300,idle
34.6,100,300,idle
34.63,100,300,idle
34.66,100,300,idle
34.7,100,300,idle
34.73,100,300,idle
34.76,100,300,idle
34.8,100,300,idle
34.83,100,300,idle
34.86,100,300,idle
34.9,100,300,idle
34.93,100,300,idle
34.97,100,300,idle
35.0,100,300,idle
35.03,100,300,idle
35.07,100,300,idle
35.1,100,300,idle
35.13,100,300,idle
35.17,100,300,idle
35.2,100,300,idle
35.24,100,300,idle
35.27,100,300,idle
35.3,100,300,idle
35.34,100,300,idle
35.37,100,300,idle
35.4,100,300,idle
35.44,100,300,idle
35.47,100,300,idle
35.5,100,300,idle
35.54,100,300,idle
35.57,100,300,idle
35.61,100,300,idle
35.64,100,300,idle
35.67,100,300,idle
35.71,100,300,idle
35.74,100,300,idle
35.77,100,300,idle
35.81,100,300,idle
35.84,100,300,idle
35.87,100,300,idle
35.91,100,300,idle
35.94,100,300,idle
35.97,100,300,idle
36.01,100,300,idle
36.04,100,300,idle
36.07,100,300,idle
36.11,100,300,idle
36.14,100,300,idle
36.17,100,300,idle
36.21,100,300,idle
36.24,100,300,idle
36.28,100,300,idle
36.31,100,300,idle
36.34,100,300,idle
36.38,100,300,idle
36.41,100,300,idle
36.44,100,300,idle
36.48,100,300,idle
36.51,100,300,idle
36.54,100,300,idle
36.58,100,300,idle
36.61,100,300,idle
36.64,100,300,idle
36.68,100,300,idle
36.71,100,300,idle
36.75,100,300,idle
36.78,100,300,idle
36.81,100,300,idle
36.85,100,300,idle
36.88,100,300,idle
36.91,100,300,idle
36.95,100,300,idle
36.98,100,300,idle
37.02,100,300,idle
37.05,100,300,idle
37.08,100,300,idle
37.12,100,300,idle
37.15,100,300,idle
